order_id,customer_id,order_status,payment_method,order_total,item_count
58,2710,Delivered,Upi,70863.44,1.0
59,146,Canceled,Loyalty Points,170914.65,1.0
60,510,In Transit,Net Banking,,
61,923,In Transit,Net Banking,218748.46,2.0
62,1231,Canceled,Loyalty Points,100875.54,1.0
63,32,Delivered,Cash On Delivery,338996.95,3.0
64,1279,Delivered,Loyalty Points,177437.6,1.0
65,1523,Canceled,Net Banking,20093.4,1.0
66,3582,Delivered,Net Banking,233439.8,2.0
67,2360,Canceled,Net Banking,271777.84,4.0
68,3552,Delivered,Net Banking,125931.48,3.0
69,4063,Canceled,Net Banking,380265.42,5.0
70,3241,Delivered,Upi,55191.74,2.0
71,3917,Canceled,Upi,,
72,95,In Transit,Cash On Delivery,202554.08,3.0
73,3873,Canceled,Upi,242828.83,3.0
74,974,Canceled,Loyalty Points,46322.82,1.0
75,4493,Canceled,Cash On Delivery,33224.66,2.0
76,3390,In Transit,Net Banking,201113.91,2.0
77,4529,Delivered,Net Banking,,
78,4781,Delivered,Upi,391890.05,2.0
79,4120,Canceled,Loyalty Points,122568.78,2.0
80,4745,Canceled,Loyalty Points,205327.0,1.0
81,4144,In Transit,Net Banking,185337.41,2.0
82,2958,Delivered,Loyalty Points,199294.86,2.0
83,4042,Delivered,Net Banking,,
84,3721,In Transit,Cash On Delivery,260079.5,3.0
85,956,Delivered,Cash On Delivery,108513.11,2.0
86,4134,Canceled,Upi,86044.55,1.0
87,4417,In Transit,Upi,208994.84,1.0
88,3855,Delivered,Net Banking,198588.2,1.0
89,3580,Canceled,Loyalty Points,224103.13,4.0
90,2490,Canceled,Loyalty Points,168241.02,1.0
91,4611,Canceled,Net Banking,,
92,22,Delivered,Loyalty Points,198440.61,2.0
93,4658,In Transit,Cash On Delivery,39717.64,1.0
94,491,In Transit,Cash On Delivery,118239.0,2.0
95,2695,Canceled,Upi,,
96,1303,Canceled,Net Banking,82820.84,1.0
97,2052,Canceled,Net Banking,203426.76,5.0
98,2681,Delivered,Loyalty Points,220008.3,2.0
99,2256,In Transit,Loyalty Points,154059.72,1.0
100,4406,Canceled,Net Banking,116746.72,2.0
101,4483,Canceled,Loyalty Points,190583.46,2.0
102,2832,Canceled,Loyalty Points,248336.02,4.0
103,3997,Canceled,Cash On Delivery,357958.7,4.0
104,312,Delivered,Upi,138014.04,1.0
105,1744,Delivered,Cash On Delivery,247647.48,1.0
106,654,In Transit,Net Banking,,
107,4272,Canceled,Cash On Delivery,,
108,2722,In Transit,Loyalty Points,89829.81,2.0
109,4172,In Transit,Net Banking,166821.06,3.0
110,2856,In Transit,Upi,338148.88,3.0
111,3837,In Transit,Loyalty Points,58288.98,1.0
112,4686,Canceled,Loyalty Points,513990.41,4.0
113,2776,Canceled,Loyalty Points,,
114,458,In Transit,Cash On Delivery,29067.52,2.0
115,1829,Delivered,Loyalty Points,325282.67,3.0
116,1539,Delivered,Cash On Delivery,281938.53,2.0
117,1524,In Transit,Net Banking,,
118,498,Canceled,Loyalty Points,358587.0,3.0
119,140,Canceled,Upi,361932.92,2.0
120,4094,In Transit,Cash On Delivery,68597.44,2.0
121,2833,Delivered,Loyalty Points,307367.15,2.0
122,2370,Delivered,Upi,39570.07,2.0
123,3559,In Transit,Upi,287767.41,4.0
124,2070,Canceled,Loyalty Points,1976.3,1.0
125,1101,Canceled,Loyalty Points,40501.29,1.0
126,4577,Canceled,Loyalty Points,63957.31,2.0
127,1621,In Transit,Upi,134858.2,2.0
128,62,Canceled,Loyalty Points,,
129,1580,In Transit,Net Banking,,
130,2950,Canceled,Cash On Delivery,372989.69,4.0
131,3955,Canceled,Net Banking,,
132,690,In Transit,Net Banking,,
133,2199,Canceled,Upi,88860.6,1.0
134,293,Delivered,Loyalty Points,63466.72,1.0
135,1154,In Transit,Cash On Delivery,59626.4,1.0
136,1985,In Transit,Loyalty Points,215621.8,3.0
137,985,Delivered,Upi,174571.53,1.0
138,662,Delivered,Cash On Delivery,48953.68,2.0
139,2876,Delivered,Net Banking,293493.2,4.0
140,4421,Delivered,Loyalty Points,,
141,2708,In Transit,Net Banking,277411.23,3.0
142,3372,Delivered,Loyalty Points,92317.06,1.0
143,171,Canceled,Upi,86755.63,3.0
144,788,In Transit,Loyalty Points,354472.04,3.0
145,3703,In Transit,Cash On Delivery,156035.32,1.0
146,651,In Transit,Upi,97903.35,2.0
147,1009,Delivered,Net Banking,114644.54,2.0
148,1511,Canceled,Loyalty Points,169145.32,3.0
149,1803,Delivered,Upi,200720.77,5.0
150,4442,Canceled,Net Banking,,
151,313,Delivered,Net Banking,146091.87,1.0
152,849,In Transit,Loyalty Points,672476.47,4.0
153,3548,In Transit,Cash On Delivery,,
154,966,Canceled,Upi,186877.24,2.0
155,2371,In Transit,Upi,14117.88,1.0
156,1483,In Transit,Net Banking,31770.85,1.0
157,4682,Canceled,Net Banking,258302.85,2.0
158,223,Delivered,Net Banking,25576.08,1.0
159,2243,In Transit,Net Banking,190108.16,1.0
160,4003,Canceled,Net Banking,120554.25,1.0
161,1533,In Transit,Net Banking,,
162,4432,Delivered,Net Banking,126137.0,3.0
163,1098,Canceled,Net Banking,579811.54,4.0
164,4282,In Transit,Cash On Delivery,155831.34,2.0
165,148,In Transit,Cash On Delivery,40184.75,1.0
166,2155,Delivered,Loyalty Points,304961.67,3.0
167,4307,Canceled,Net Banking,250878.32,2.0
168,4629,Delivered,Net Banking,,
169,2106,Canceled,Upi,182009.6,2.0
170,1347,Delivered,Net Banking,,
171,374,In Transit,Cash On Delivery,142581.12,1.0
172,30,In Transit,Cash On Delivery,170164.0,1.0
173,2143,Delivered,Net Banking,82372.77,1.0
174,4752,Canceled,Loyalty Points,264477.87,3.0
175,4066,In Transit,Net Banking,,
176,3762,Canceled,Upi,,
177,2444,Canceled,Cash On Delivery,10785.0,1.0
178,3582,In Transit,Loyalty Points,79787.8,1.0
179,3024,Delivered,Cash On Delivery,2956.74,1.0
180,1958,In Transit,Loyalty Points,88397.84,1.0
181,4420,Canceled,Upi,,
182,2384,Delivered,Loyalty Points,,
183,3442,In Transit,Upi,,
184,4104,In Transit,Upi,74641.82,1.0
185,3430,In Transit,Upi,377513.34,4.0
186,959,Canceled,Net Banking,,
187,3486,Canceled,Cash On Delivery,213968.77,4.0
188,2925,Delivered,Upi,,
189,1581,Delivered,Loyalty Points,134335.29,2.0
190,2220,Delivered,Cash On Delivery,392366.4,3.0
191,2332,Delivered,Loyalty Points,,
192,893,Canceled,Net Banking,,
193,1030,Delivered,Loyalty Points,355110.04,3.0
194,1245,In Transit,Cash On Delivery,225507.75,2.0
195,3223,Delivered,Upi,33886.2,1.0
196,4994,Canceled,Cash On Delivery,194063.68,2.0
197,2921,In Transit,Net Banking,14158.9,1.0
198,1614,In Transit,Loyalty Points,,
199,2586,Canceled,Cash On Delivery,276111.16,3.0
200,2602,Canceled,Upi,191131.35,1.0
201,2361,In Transit,Net Banking,,
202,4525,In Transit,Loyalty Points,,
203,435,In Transit,Net Banking,44882.99,2.0
204,4880,Canceled,Cash On Delivery,,
205,4659,Canceled,Upi,165514.98,2.0
206,4205,Canceled,Loyalty Points,102429.9,1.0
207,3743,Canceled,Net Banking,,
208,675,In Transit,Net Banking,,
209,542,Delivered,Cash On Delivery,37882.84,1.0
210,1792,In Transit,Cash On Delivery,52746.75,1.0
211,2283,Delivered,Net Banking,67667.62,2.0
212,2345,Canceled,Loyalty Points,364683.15,2.0
213,2695,Canceled,Net Banking,435694.11,2.0
214,1376,Delivered,Net Banking,252174.39,2.0
215,3909,In Transit,Cash On Delivery,80244.22,1.0
216,821,In Transit,Loyalty Points,,
217,2161,Delivered,Net Banking,118883.94,3.0
218,4957,Canceled,Loyalty Points,397729.21,3.0
219,3684,In Transit,Net Banking,112412.64,2.0
220,1997,In Transit,Cash On Delivery,169178.92,1.0
221,2357,Delivered,Net Banking,129751.37,3.0
222,329,Canceled,Net Banking,,
223,4750,Canceled,Net Banking,27528.6,1.0
224,3455,Canceled,Upi,107319.75,1.0
225,2738,Delivered,Cash On Delivery,236371.85,2.0
226,2227,In Transit,Net Banking,191131.35,1.0
227,3134,In Transit,Upi,51283.24,1.0
228,2275,Canceled,Cash On Delivery,83822.24,2.0
229,4956,Canceled,Upi,,
230,2220,Canceled,Net Banking,365432.45,2.0
231,827,Canceled,Upi,,
232,3498,Delivered,Cash On Delivery,174161.61,2.0
233,178,Canceled,Cash On Delivery,141155.65,2.0
234,4258,Delivered,Upi,182217.08,1.0
235,4060,In Transit,Net Banking,,
236,9,In Transit,Loyalty Points,155787.28,2.0
237,2087,Delivered,Net Banking,259425.4,3.0
238,2190,Canceled,Cash On Delivery,42647.79,2.0
239,571,In Transit,Cash On Delivery,,
240,4631,Canceled,Upi,81748.36,2.0
241,2281,Canceled,Loyalty Points,,
242,2294,Delivered,Loyalty Points,184466.93,3.0
243,1773,Canceled,Net Banking,267199.08,5.0
244,1864,Canceled,Upi,149066.0,1.0
245,1807,Canceled,Cash On Delivery,262355.23,3.0
246,2265,In Transit,Net Banking,187072.2,1.0
247,2757,Canceled,Loyalty Points,,
248,3661,Canceled,Loyalty Points,41410.42,1.0
249,1357,In Transit,Loyalty Points,32042.69,2.0
250,3792,In Transit,Loyalty Points,,
251,2855,Delivered,Cash On Delivery,42353.64,1.0
252,2118,Delivered,Upi,321773.46,2.0
253,3129,In Transit,Cash On Delivery,395484.16,5.0
254,397,In Transit,Net Banking,248529.41,2.0
255,4334,Canceled,Loyalty Points,3828.0,1.0
256,4957,In Transit,Cash On Delivery,119949.87,2.0
257,2211,Canceled,Cash On Delivery,101386.3,1.0
258,1960,In Transit,Net Banking,,
259,4814,Delivered,Net Banking,,
260,431,In Transit,Upi,108782.49,1.0
261,2813,Canceled,Cash On Delivery,289789.85,3.0
262,4748,Delivered,Net Banking,109852.01,2.0
263,2147,Canceled,Cash On Delivery,,
264,3676,Delivered,Loyalty Points,106295.16,1.0
265,184,In Transit,Loyalty Points,,
266,4506,Delivered,Upi,264818.3,6.0
267,642,In Transit,Net Banking,,
268,2085,In Transit,Net Banking,12874.18,1.0
269,231,In Transit,Net Banking,306358.49,2.0
270,1132,In Transit,Upi,195527.74,3.0
271,299,Delivered,Upi,206859.94,3.0
272,3623,Delivered,Cash On Delivery,164286.58,3.0
273,264,Delivered,Cash On Delivery,185764.31,2.0
274,3420,In Transit,Upi,607.95,1.0
275,194,Canceled,Net Banking,357918.42,4.0
276,1959,Canceled,Net Banking,242689.2,3.0
277,3498,In Transit,Loyalty Points,154825.14,2.0
278,1754,In Transit,Loyalty Points,217135.4,2.0
279,3978,Canceled,Net Banking,,
280,1099,Canceled,Loyalty Points,212705.0,1.0
281,3403,Canceled,Cash On Delivery,181491.36,2.0
282,4248,Canceled,Loyalty Points,46612.18,1.0
283,2930,In Transit,Net Banking,,
284,4989,Delivered,Loyalty Points,142521.06,3.0
285,397,Delivered,Upi,182949.97,2.0
286,2011,In Transit,Cash On Delivery,173727.2,1.0
287,2372,Delivered,Net Banking,137395.33,2.0
288,2396,In Transit,Loyalty Points,,
289,4277,Canceled,Upi,470440.87,3.0
290,4088,Delivered,Upi,196796.6,1.0
291,90,Delivered,Loyalty Points,10970.08,1.0
292,1750,Delivered,Upi,182186.83,3.0
293,1440,In Transit,Loyalty Points,77483.76,2.0
294,1665,In Transit,Net Banking,383560.89,3.0
295,2473,In Transit,Cash On Delivery,399306.31,4.0
296,2983,Delivered,Cash On Delivery,,
297,3836,In Transit,Net Banking,,
298,615,Delivered,Net Banking,45382.4,1.0
299,1141,Delivered,Loyalty Points,109734.85,1.0
300,994,Delivered,Cash On Delivery,545247.94,4.0
301,2304,In Transit,Cash On Delivery,271714.72,2.0
302,2141,In Transit,Cash On Delivery,,
303,1749,Canceled,Net Banking,122227.44,1.0
304,2915,In Transit,Net Banking,79098.87,2.0
305,1625,Delivered,Cash On Delivery,,
306,2663,In Transit,Net Banking,496368.77,3.0
307,3155,Canceled,Cash On Delivery,7588.82,1.0
308,3853,Delivered,Net Banking,30881.88,1.0
309,3271,In Transit,Cash On Delivery,225191.81,2.0
310,4595,Canceled,Loyalty Points,643266.11,6.0
311,3464,Delivered,Net Banking,90720.26,2.0
312,193,In Transit,Loyalty Points,,
313,1589,Delivered,Loyalty Points,77532.34,1.0
314,3065,Canceled,Loyalty Points,19140.0,1.0
315,244,Canceled,Loyalty Points,70859.36,1.0
316,2605,Delivered,Loyalty Points,416412.22,5.0
317,4800,Canceled,Upi,36260.83,1.0
318,1648,In Transit,Upi,225550.51,2.0
319,2324,Canceled,Loyalty Points,206464.6,1.0
320,835,In Transit,Upi,291433.83,2.0
321,4011,Canceled,Upi,,
322,4243,Delivered,Net Banking,861665.15,9.0
323,1705,Delivered,Upi,223846.55,1.0
324,1163,In Transit,Upi,,
325,4240,Canceled,Loyalty Points,100881.75,1.0
326,372,Canceled,Loyalty Points,685014.92,7.0
327,3151,Delivered,Loyalty Points,188824.2,1.0
328,4402,In Transit,Cash On Delivery,95026.35,2.0
329,2402,In Transit,Loyalty Points,12375.29,1.0
330,735,In Transit,Net Banking,255771.85,2.0
331,574,Canceled,Loyalty Points,44918.04,1.0
332,3033,In Transit,Upi,81603.02,1.0
333,4443,Canceled,Upi,106048.4,1.0
334,2975,Delivered,Cash On Delivery,48432.64,1.0
335,2881,In Transit,Loyalty Points,82820.84,1.0
336,1704,Delivered,Net Banking,166044.91,3.0
337,884,Delivered,Cash On Delivery,29230.28,1.0
338,892,Delivered,Loyalty Points,20383.4,1.0
339,1968,Delivered,Upi,48174.7,1.0
340,1027,Canceled,Cash On Delivery,,
341,1772,Delivered,Cash On Delivery,193569.69,3.0
342,4904,In Transit,Upi,76732.06,1.0
343,2785,Canceled,Net Banking,,
344,2157,In Transit,Net Banking,97939.22,1.0
345,4209,Canceled,Loyalty Points,46151.13,1.0
346,1371,In Transit,Cash On Delivery,607680.69,5.0
347,3190,In Transit,Net Banking,291704.77,2.0
348,3166,In Transit,Upi,,
349,2600,In Transit,Loyalty Points,70589.4,1.0
350,4859,Canceled,Upi,157287.28,1.0
351,1584,Canceled,Loyalty Points,107135.2,3.0
352,4572,In Transit,Cash On Delivery,117886.25,2.0
353,1317,Delivered,Net Banking,152829.8,1.0
354,3687,Delivered,Net Banking,62242.28,2.0
355,2677,In Transit,Net Banking,297167.0,2.0
356,110,In Transit,Upi,288812.24,3.0
357,92,Delivered,Loyalty Points,111506.15,1.0
358,2237,Delivered,Upi,85228.42,2.0
359,4172,Delivered,Cash On Delivery,45382.4,1.0
360,4369,In Transit,Net Banking,139778.57,2.0
361,3211,In Transit,Net Banking,464273.47,6.0
362,4880,Delivered,Net Banking,,
363,3101,Delivered,Loyalty Points,321094.69,3.0
364,2581,Canceled,Net Banking,70589.4,1.0
365,302,Canceled,Loyalty Points,123084.14,1.0
366,2837,In Transit,Cash On Delivery,20277.26,1.0
367,1599,Delivered,Cash On Delivery,,
368,2710,Canceled,Net Banking,113930.53,4.0
369,4369,Canceled,Net Banking,,
370,29,Canceled,Net Banking,,
371,2997,Canceled,Upi,,
372,3014,Delivered,Cash On Delivery,5023.35,1.0
373,3508,In Transit,Loyalty Points,,
374,4758,In Transit,Net Banking,127455.55,2.0
375,727,In Transit,Cash On Delivery,166068.25,1.0
376,3079,Canceled,Loyalty Points,199046.5,2.0
377,614,Delivered,Net Banking,567870.46,4.0
378,4446,Canceled,Upi,,
379,2689,In Transit,Net Banking,170964.2,1.0
380,506,Canceled,Cash On Delivery,20646.45,1.0
381,3062,Delivered,Net Banking,248075.19,2.0
382,3660,In Transit,Loyalty Points,,
383,2255,Canceled,Cash On Delivery,,
384,1829,Canceled,Cash On Delivery,70252.92,1.0
385,4313,Canceled,Loyalty Points,1039570.9,5.0
386,22,In Transit,Net Banking,37381.78,2.0
387,375,Canceled,Loyalty Points,304946.6,2.0
388,3701,Delivered,Loyalty Points,226092.48,2.0
389,4636,Delivered,Cash On Delivery,,
390,2073,Delivered,Loyalty Points,88659.6,1.0
391,1353,Delivered,Upi,228678.17,3.0
392,2703,In Transit,Net Banking,232556.41,3.0
393,4983,In Transit,Loyalty Points,105833.72,2.0
394,2093,Delivered,Net Banking,258387.7,2.0
395,3341,Delivered,Cash On Delivery,202377.38,2.0
396,421,In Transit,Net Banking,97882.6,1.0
397,306,Canceled,Loyalty Points,130390.56,1.0
398,1003,Canceled,Upi,106520.6,1.0
399,3406,Canceled,Loyalty Points,,
400,958,Delivered,Loyalty Points,103118.98,2.0
401,3226,Delivered,Net Banking,125193.69,1.0
402,3431,Delivered,Loyalty Points,490702.83,5.0
403,611,In Transit,Loyalty Points,,
404,197,Delivered,Cash On Delivery,176054.75,2.0
405,2155,In Transit,Loyalty Points,66798.42,2.0
406,3826,Delivered,Cash On Delivery,10618.36,1.0
407,4999,In Transit,Cash On Delivery,181304.15,1.0
408,181,In Transit,Loyalty Points,182438.02,4.0
409,3123,In Transit,Loyalty Points,222730.86,2.0
410,3636,Canceled,Cash On Delivery,181890.17,2.0
411,4701,Canceled,Cash On Delivery,97939.22,1.0
412,36,Delivered,Cash On Delivery,59491.21,2.0
413,1829,In Transit,Cash On Delivery,5913.48,1.0
414,525,Canceled,Cash On Delivery,45558.55,1.0
415,1202,Delivered,Upi,,
416,2865,In Transit,Cash On Delivery,138475.59,1.0
417,743,In Transit,Cash On Delivery,214500.69,2.0
418,4439,Delivered,Upi,158332.05,2.0
419,4379,Canceled,Cash On Delivery,216197.05,3.0
420,3105,In Transit,Cash On Delivery,296522.15,2.0
421,3641,Delivered,Upi,300569.97,3.0
422,2607,Delivered,Net Banking,,
423,3301,In Transit,Upi,33564.56,1.0
424,3799,Delivered,Cash On Delivery,12874.18,1.0
425,910,Delivered,Loyalty Points,75707.66,2.0
426,3778,Canceled,Net Banking,246172.96,3.0
427,2429,Delivered,Upi,76156.52,2.0
428,4697,Delivered,Net Banking,46642.32,1.0
429,107,Canceled,Net Banking,45005.74,2.0
430,21,Delivered,Net Banking,213166.12,2.0
431,909,In Transit,Loyalty Points,234813.12,3.0
432,1480,In Transit,Upi,,
433,4174,In Transit,Loyalty Points,,
434,349,Delivered,Cash On Delivery,,
435,1279,Delivered,Loyalty Points,212358.9,3.0
436,3731,Delivered,Net Banking,134307.93,1.0
437,4399,Delivered,Loyalty Points,,
438,4526,Canceled,Loyalty Points,13587.29,2.0
439,1695,Canceled,Cash On Delivery,593651.86,5.0
440,344,Canceled,Loyalty Points,217869.84,3.0
441,277,Canceled,Cash On Delivery,137512.68,1.0
442,2427,Canceled,Loyalty Points,104821.86,3.0
443,3000,Delivered,Upi,112229.34,2.0
444,3142,In Transit,Upi,112972.83,2.0
445,900,Canceled,Loyalty Points,16335.87,1.0
446,2432,Delivered,Net Banking,104236.32,1.0
447,335,Canceled,Net Banking,,
448,192,Delivered,Loyalty Points,,
449,2379,Canceled,Loyalty Points,32663.92,1.0
450,4072,Delivered,Upi,158781.44,1.0
451,1875,In Transit,Loyalty Points,176804.2,3.0
452,4544,In Transit,Loyalty Points,13083.96,1.0
453,4369,In Transit,Upi,31821.6,1.0
454,4228,In Transit,Loyalty Points,68365.86,1.0
455,4055,In Transit,Cash On Delivery,,
456,1031,In Transit,Cash On Delivery,9498.37,1.0
457,4224,Canceled,Upi,463570.77,4.0
458,2676,In Transit,Net Banking,65819.74,2.0
459,2438,In Transit,Net Banking,292423.21,4.0
460,274,Delivered,Cash On Delivery,44769.31,1.0
461,4965,Canceled,Loyalty Points,161986.48,3.0
462,1086,Canceled,Loyalty Points,148337.01,5.0
463,4261,Delivered,Loyalty Points,324154.4,5.0
464,4336,Canceled,Upi,41105.14,1.0
465,3203,Canceled,Loyalty Points,52069.02,1.0
466,3518,Canceled,Upi,228926.08,4.0
467,1381,In Transit,Cash On Delivery,265748.32,2.0
468,1108,Delivered,Cash On Delivery,236507.2,2.0
469,109,Canceled,Upi,50436.72,1.0
470,4263,Delivered,Upi,82146.44,1.0
471,2160,Canceled,Loyalty Points,136731.72,1.0
472,99,Canceled,Cash On Delivery,,
473,1944,Canceled,Cash On Delivery,50030.0,1.0
474,1471,Canceled,Loyalty Points,303793.47,3.0
475,1026,In Transit,Loyalty Points,,
476,2271,In Transit,Loyalty Points,20294.16,1.0
477,2468,Canceled,Net Banking,148923.93,2.0
478,4669,Delivered,Net Banking,125278.85,3.0
479,492,In Transit,Upi,73707.46,2.0
480,2253,In Transit,Cash On Delivery,207136.53,2.0
481,4030,Delivered,Upi,483487.3,5.0
482,2650,Canceled,Cash On Delivery,,
483,1067,In Transit,Upi,104521.88,3.0
484,1490,Canceled,Loyalty Points,287146.35,2.0
485,4581,Canceled,Upi,323247.11,2.0
486,896,In Transit,Upi,237319.9,2.0
487,2362,Canceled,Cash On Delivery,149724.72,1.0
488,844,Delivered,Net Banking,137457.6,1.0
489,4095,Canceled,Loyalty Points,134749.85,2.0
490,459,In Transit,Upi,208994.84,1.0
491,3214,Delivered,Loyalty Points,,
492,2324,In Transit,Loyalty Points,33627.25,1.0
493,631,In Transit,Cash On Delivery,277179.54,4.0
494,3514,Canceled,Cash On Delivery,305273.92,4.0
495,2773,In Transit,Cash On Delivery,349744.96,4.0
496,27,In Transit,Loyalty Points,213428.94,2.0
497,2838,Canceled,Net Banking,331202.03,3.0
498,4296,In Transit,Cash On Delivery,195044.15,1.0
499,432,In Transit,Net Banking,257962.93,4.0
500,164,Canceled,Loyalty Points,415234.55,3.0
501,2473,Delivered,Loyalty Points,,
502,1016,In Transit,Net Banking,89683.39,2.0
503,1201,In Transit,Loyalty Points,10954.5,1.0
504,3965,In Transit,Cash On Delivery,211667.54,3.0
505,2177,Canceled,Cash On Delivery,163684.98,2.0
506,1961,Canceled,Loyalty Points,109439.5,1.0
507,2821,Canceled,Upi,202307.57,2.0
508,253,Canceled,Net Banking,119371.77,1.0
509,2625,Delivered,Net Banking,31967.69,1.0
510,1852,Canceled,Cash On Delivery,98275.88,2.0
511,741,Delivered,Cash On Delivery,438624.77,5.0
512,3810,Canceled,Net Banking,227926.12,1.0
513,543,Canceled,Upi,14726.99,2.0
514,3687,Canceled,Cash On Delivery,19882.3,2.0
515,1322,Canceled,Upi,298373.72,2.0
516,1203,In Transit,Loyalty Points,,
517,1031,In Transit,Net Banking,54516.78,1.0
518,2008,Delivered,Net Banking,123219.66,1.0
519,3575,Canceled,Upi,281736.63,3.0
520,4843,Delivered,Loyalty Points,403433.09,3.0
521,2320,Canceled,Net Banking,206123.48,2.0
522,1384,Delivered,Cash On Delivery,291701.29,3.0
523,1480,Delivered,Net Banking,132854.6,1.0
524,2700,Delivered,Loyalty Points,428917.91,3.0
525,1305,In Transit,Upi,,
526,3417,In Transit,Cash On Delivery,246810.85,1.0
527,3590,In Transit,Upi,358440.09,2.0
528,132,In Transit,Cash On Delivery,81109.04,1.0
529,2128,Canceled,Cash On Delivery,74256.78,1.0
530,2563,Delivered,Cash On Delivery,65874.1,1.0
531,4122,In Transit,Cash On Delivery,138924.68,2.0
532,3614,In Transit,Loyalty Points,213705.25,1.0
533,4967,Canceled,Loyalty Points,171141.73,2.0
534,2663,In Transit,Loyalty Points,51492.3,1.0
535,1850,Canceled,Cash On Delivery,,
536,2546,Delivered,Net Banking,,
537,2114,In Transit,Net Banking,149051.65,1.0
538,195,In Transit,Net Banking,92330.62,2.0
539,929,Delivered,Upi,150353.72,1.0
540,2423,Delivered,Net Banking,242874.31,2.0
541,2512,Delivered,Cash On Delivery,122614.64,1.0
542,2956,Delivered,Upi,,
543,1971,Delivered,Loyalty Points,32663.92,1.0
544,3244,Delivered,Upi,321929.02,2.0
545,4471,Canceled,Cash On Delivery,44772.8,2.0
546,293,Delivered,Cash On Delivery,412440.15,4.0
547,2060,Canceled,Upi,95650.85,1.0
548,2570,Delivered,Cash On Delivery,219044.04,2.0
549,1751,Delivered,Loyalty Points,76722.13,2.0
550,1046,In Transit,Loyalty Points,1976.3,1.0
551,4523,Delivered,Loyalty Points,183556.59,3.0
552,4994,In Transit,Cash On Delivery,60390.8,1.0
553,2177,Canceled,Upi,,
554,958,In Transit,Net Banking,218301.31,2.0
555,4089,In Transit,Loyalty Points,2017.68,1.0
556,3260,Canceled,Loyalty Points,450114.55,2.0
557,1091,In Transit,Cash On Delivery,187907.73,3.0
558,2389,Delivered,Upi,19946.95,1.0
559,3117,In Transit,Net Banking,162621.35,2.0
560,3067,In Transit,Cash On Delivery,115098.09,1.0
561,3130,Delivered,Upi,60450.64,2.0
562,4465,Delivered,Net Banking,47670.6,1.0
563,4199,Delivered,Upi,211631.99,3.0
564,1527,In Transit,Loyalty Points,111368.35,1.0
565,4818,Canceled,Loyalty Points,288182.65,3.0
566,1273,In Transit,Net Banking,,
567,3405,Canceled,Upi,100880.73,1.0
568,4756,In Transit,Cash On Delivery,52260.7,1.0
569,1070,Canceled,Net Banking,47527.04,1.0
570,3456,Canceled,Loyalty Points,,
571,466,Canceled,Net Banking,12708.34,1.0
